checked_at_utc,zone,delivery_date,series,hours_expected,hours_covered,minutes_before_gate
2026-09-23T22:27:04+00:00,DE-LU,2026-09-25,load,24,0,692
2026-09-23T22:27:04+00:00,DE-LU,2026-09-25,wind,24,0,692
2026-09-23T22:27:04+00:00,DE-LU,2026-09-25,solar,24,0,692
2026-09-24T00:51:35+00:00,DE-LU,2026-09-25,load,24,0,548
2026-09-24T00:51:35+00:00,DE-LU,2026-09-25,wind,24,0,548
2026-09-24T00:51:35+00:00,DE-LU,2026-09-25,solar,24,0,548
2026-09-24T06:42:43+00:00,DE-LU,2026-09-25,load,24,0,197
2026-09-24T06:42:43+00:00,DE-LU,2026-09-25,wind,24,0,197
2026-09-24T06:42:43+00:00,DE-LU,2026-09-25,solar,24,0,197
2026-09-24T12:53:12+00:00,DE-LU,2026-09-25,load,24,24,-174
2026-09-24T12:53:12+00:00,DE-LU,2026-09-25,wind,24,0,-174
2026-09-24T12:53:12+00:00,DE-LU,2026-09-25,solar,24,0,-174
2026-09-24T17:56:39+00:00,DE-LU,2026-09-25,load,24,24,-477
2026-09-24T17:56:39+00:00,DE-LU,2026-09-25,wind,24,24,-477
2026-09-24T17:56:39+00:00,DE-LU,2026-09-25,solar,24,24,-477
